INFO 2026-05-04 11:17:02,061 autoreload 3468 11456 Watching for file changes with StatReloader
WARNING 2026-05-04 14:09:13,462 log 11660 24912 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:09:13,468 log 11660 3556 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:09:13,475 log 11660 24984 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:09:13,497 log 11660 28624 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:12:01,707 log 11660 28624 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 14:12:01,760 log 11660 28624 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:12:01,763 log 11660 24912 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:12:01,774 log 11660 3556 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:12:01,781 log 11660 28624 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:12:52,692 log 11660 3556 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 14:12:52,700 log 11660 24912 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 14:13:00,902 log 11660 24912 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 14:13:00,918 log 11660 3556 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 14:13:09,696 log 11660 3556 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:13:09,712 log 11660 24912 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:13:09,763 log 11660 24984 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:13:09,774 log 11660 3556 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:58:57,341 log 11660 11760 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 14:58:57,335 log 11660 14956 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 14:58:57,626 log 11660 13324 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:58:57,637 log 11660 14956 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:58:57,840 log 11660 28496 Forbidden: /api/v1/don/
WARNING 2026-05-04 14:58:57,855 log 11660 13324 Forbidden: /api/v1/contact/
WARNING 2026-05-04 14:59:22,315 log 11660 13324 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 14:59:22,323 log 11660 11760 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 15:00:09,332 log 11660 14956 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 15:00:09,340 log 11660 28496 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 15:00:09,358 log 11660 11760 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 15:00:09,369 log 11660 13324 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 15:07:33,688 log 11660 27700 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 15:07:33,701 log 11660 18504 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 15:07:34,183 log 11660 18504 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 15:07:34,198 log 11660 27700 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 15:07:41,153 log 11660 27700 Not Found: /api/v1/auth/logout/
WARNING 2026-05-04 15:07:49,172 log 11660 18504 Forbidden: /api/v1/
WARNING 2026-05-04 15:07:49,179 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:09:57,168 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:09:57,177 log 11660 18504 Forbidden: /api/v1/
WARNING 2026-05-04 15:09:58,951 log 11660 26304 Not Found: /api/v1/undefinedcategories/
WARNING 2026-05-04 15:09:58,989 log 11660 26304 Not Found: /api/v1/undefinedtags/
WARNING 2026-05-04 15:09:59,029 log 11660 26304 Not Found: /api/v1/undefinedcategories/
WARNING 2026-05-04 15:09:59,045 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:09:59,093 log 11660 26304 Not Found: /api/v1/undefinedtags/
WARNING 2026-05-04 15:09:59,106 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:10:02,052 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:10:02,059 log 11660 24864 Forbidden: /api/v1/
WARNING 2026-05-04 15:10:05,868 log 11660 24864 Forbidden: /api/v1/
WARNING 2026-05-04 15:10:05,876 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:10:12,513 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:10:12,525 log 11660 24864 Forbidden: /api/v1/
WARNING 2026-05-04 15:13:46,164 log 11660 24864 Forbidden: /api/v1/
WARNING 2026-05-04 15:13:46,170 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:13:47,502 log 11660 24864 Not Found: /api/v1/undefinedtags/
WARNING 2026-05-04 15:13:47,515 log 11660 26304 Not Found: /api/v1/undefinedcategories/
WARNING 2026-05-04 15:13:47,529 log 11660 24864 Forbidden: /api/v1/
WARNING 2026-05-04 15:13:47,567 log 11660 26304 Not Found: /api/v1/undefinedtags/
WARNING 2026-05-04 15:13:47,614 log 11660 24864 Not Found: /api/v1/undefinedcategories/
WARNING 2026-05-04 15:13:47,617 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:07,276 log 11660 26304 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:07,342 log 11660 24864 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:21,513 log 11660 30704 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:21,519 log 11660 30704 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:23,342 log 11660 29796 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:23,354 log 11660 29796 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:23,394 log 11660 30704 Not Found: /api/v1/undefinedcategories/
WARNING 2026-05-04 15:14:23,409 log 11660 29776 Not Found: /api/v1/undefinedtags/
WARNING 2026-05-04 15:14:23,468 log 11660 30704 Not Found: /api/v1/undefinedtags/
WARNING 2026-05-04 15:14:23,470 log 11660 29796 Not Found: /api/v1/undefinedcategories/
WARNING 2026-05-04 15:14:27,351 log 11660 30704 Forbidden: /api/v1/
WARNING 2026-05-04 15:14:27,360 log 11660 29796 Forbidden: /api/v1/
INFO 2026-05-04 18:55:40,199 autoreload 28836 27628 Watching for file changes with StatReloader
INFO 2026-05-04 18:56:56,541 autoreload 28292 8840 Watching for file changes with StatReloader
INFO 2026-05-04 18:58:33,023 autoreload 29052 21416 Watching for file changes with StatReloader
INFO 2026-05-04 19:01:29,698 autoreload 29052 21416 C:\Users\hounk\Desktop\JUDCD SITE\Developpement\backend\judcd_backend-site\api\v1\judcd_app\adhesion_urls.py changed, reloading.
INFO 2026-05-04 19:01:32,102 autoreload 17724 17288 Watching for file changes with StatReloader
INFO 2026-05-04 19:01:54,263 autoreload 16756 26204 Watching for file changes with StatReloader
INFO 2026-05-04 19:04:02,651 autoreload 7972 5824 Watching for file changes with StatReloader
INFO 2026-05-04 19:12:49,852 autoreload 12972 8320 Watching for file changes with StatReloader
INFO 2026-05-04 19:13:30,779 autoreload 12972 8320 C:\Users\hounk\Desktop\JUDCD SITE\Developpement\backend\judcd_backend-site\api\v1\judcd_app\views\views.py changed, reloading.
INFO 2026-05-04 19:13:35,580 autoreload 24592 23568 Watching for file changes with StatReloader
INFO 2026-05-04 19:14:41,868 autoreload 20596 25024 Watching for file changes with StatReloader
INFO 2026-05-04 19:14:55,027 autoreload 20596 25024 C:\Users\hounk\Desktop\JUDCD SITE\Developpement\backend\judcd_backend-site\api\v1\judcd_app\views\views.py changed, reloading.
INFO 2026-05-04 19:14:57,354 autoreload 20936 24068 Watching for file changes with StatReloader
INFO 2026-05-04 19:16:16,310 autoreload 20936 24068 C:\Users\hounk\Desktop\JUDCD SITE\Developpement\backend\judcd_backend-site\api\v1\judcd_app\views\auth_views.py changed, reloading.
INFO 2026-05-04 19:16:19,361 autoreload 12332 13120 Watching for file changes with StatReloader
INFO 2026-05-04 19:19:46,565 autoreload 25900 27720 Watching for file changes with StatReloader
INFO 2026-05-04 19:34:46,859 autoreload 25900 27720 C:\Users\hounk\Desktop\JUDCD SITE\Developpement\backend\judcd_backend-site\api\v1\judcd_app\urls.py changed, reloading.
INFO 2026-05-04 19:34:50,518 autoreload 27828 7128 Watching for file changes with StatReloader
INFO 2026-05-04 19:41:50,579 autoreload 29440 25332 Watching for file changes with StatReloader
WARNING 2026-05-04 19:42:14,229 log 29440 8444 Forbidden: /api/v1/contact/
WARNING 2026-05-04 19:42:14,233 log 29440 24312 Forbidden: /api/v1/don/
WARNING 2026-05-04 19:42:14,277 log 29440 24312 Forbidden: /api/v1/contact/
WARNING 2026-05-04 19:42:14,288 log 29440 8444 Forbidden: /api/v1/don/
WARNING 2026-05-04 19:43:09,230 log 29440 24312 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 19:43:09,238 log 29440 8444 Not Found: /api/v1/auth/me/
WARNING 2026-05-04 19:43:10,210 log 29440 8444 Forbidden: /api/v1/admin/adhesions/
WARNING 2026-05-04 19:43:10,216 log 29440 10924 Forbidden: /api/v1/admin/adhesions/statistiques/
WARNING 2026-05-04 19:43:10,235 log 29440 24312 Forbidden: /api/v1/admin/adhesions/
WARNING 2026-05-04 19:43:10,238 log 29440 8444 Forbidden: /api/v1/admin/adhesions/statistiques/
WARNING 2026-05-04 19:43:47,273 log 29440 8444 Forbidden: /api/v1/contact/
WARNING 2026-05-04 19:43:47,282 log 29440 10924 Forbidden: /api/v1/don/
WARNING 2026-05-04 19:43:47,295 log 29440 26028 Forbidden: /api/v1/contact/
WARNING 2026-05-04 19:43:47,309 log 29440 8444 Forbidden: /api/v1/don/
WARNING 2026-05-04 19:44:01,459 log 29440 10924 Not Found: /api/v1/auth/logout/
WARNING 2026-05-04 19:54:08,750 log 29440 26776 Forbidden: /api/v1/
WARNING 2026-05-04 19:54:08,765 log 29440 26776 Forbidden: /api/v1/
WARNING 2026-05-04 19:55:01,334 log 29440 26776 Forbidden: /api/v1/
WARNING 2026-05-04 19:55:01,350 log 29440 2856 Forbidden: /api/v1/
WARNING 2026-05-04 20:49:03,189 log 29440 23596 Forbidden: /api/v1/
WARNING 2026-05-04 20:49:03,305 log 29440 19212 Forbidden: /api/v1/
WARNING 2026-05-04 20:53:36,402 log 29440 30580 Forbidden: /api/v1/
WARNING 2026-05-04 20:53:36,437 log 29440 30580 Forbidden: /api/v1/
WARNING 2026-05-04 20:54:24,681 log 29440 7708 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:54:24,686 log 29440 30580 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:54:24,751 log 29440 7708 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:54:24,818 log 29440 30580 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:55:48,798 log 29440 8728 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:55:48,818 log 29440 30580 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:56:06,159 log 29440 30580 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:06,169 log 29440 8728 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:56:06,177 log 29440 7708 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:06,209 log 29440 8728 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:56:19,035 log 29440 7708 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:19,045 log 29440 30580 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:25,403 log 29440 30580 Forbidden: /api/v1/
WARNING 2026-05-04 20:56:25,420 log 29440 7708 Forbidden: /api/v1/
WARNING 2026-05-04 20:56:30,645 log 29440 7708 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:30,657 log 29440 30580 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:56:30,671 log 29440 26240 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:30,700 log 29440 7708 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:56:51,229 log 29440 8912 Forbidden: /api/v1/
WARNING 2026-05-04 20:56:51,240 log 29440 7708 Forbidden: /api/v1/
WARNING 2026-05-04 20:56:53,614 log 29440 7708 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:53,621 log 29440 8912 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:56:53,637 log 29440 26240 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:56:53,644 log 29440 30580 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:57:02,840 log 29440 8912 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:02,855 log 29440 30580 Forbidden: /api/v1/galerie-action/
WARNING 2026-05-04 20:57:04,075 log 29440 30580 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:57:04,100 log 29440 8912 Forbidden: /api/v1/don/
WARNING 2026-05-04 20:57:04,110 log 29440 8728 Forbidden: /api/v1/contact/
WARNING 2026-05-04 20:57:04,132 log 29440 30580 Forbidden: /api/v1/don/
